audit,link,n_sensors,n_valid_frames,valid_frame_ratio,activation_lt_0_50m,activation_lt_0_20m,activation_lt_0_10m,activation_lt_0_05m,mean_min_depth_m
cleaned_low_surface_mug_scale_audit_14h5_20260605,link2,7,25921,0.9967698519515478,0.317426025230508,0.0001543150341422,0.0001543150341422,0.0001543150341422,0.9913731552729448
cleaned_low_surface_mug_scale_audit_14h5_20260605,link3,8,29624,0.9967698519515478,0.2265055360518498,0.0369632730218741,0.0003038077234674,0.0002700513097488,1.132582829461606
cleaned_low_surface_mug_scale_audit_14h5_20260605,link5,6,22081,0.9906235980260206,0.2408858294461301,0.0665277840677505,0.0262216385127485,0.0091481364068656,1.2901903272625297
cleaned_low_surface_mug_scale_audit_14h5_20260605,link6,8,29433,0.990343203230148,0.7240852104780349,0.2164237420582339,0.0829001460945197,0.0149152312030713,0.5091765409967898
FrankaSkinHybridPnP5MassConfig_20260612_023111,link1,7,90174,1.0,0.2953622995541952,0.1428682325282232,0.0,0.0,1.0483597046277882
FrankaSkinHybridPnP5MassConfig_20260612_023111,link2,7,90174,1.0,0.1498436356377669,0.0027391487568478,0.0007319182913034,2.2179342160711516e-05,1.089159678579077
FrankaSkinHybridPnP5MassConfig_20260612_023111,link3,5,64410,1.0,0.3770066759819904,0.0058841794752367,0.0015370284117373,0.0001552553951249,0.8003168116327122
FrankaSkinHybridPnP5MassConfig_20260612_023111,link4,5,64410,1.0,0.4221859959633597,0.0008073280546498,0.0,0.0,0.9296717014687158
FrankaSkinHybridPnP5MassConfig_20260612_023111,link5,10,128820,1.0,0.3251125601614656,0.1126921285514671,0.0401490451793199,0.0107591988821611,1.2923289010326546
FrankaSkinHybridPnP5MassConfig_20260612_023111,link6,6,77292,1.0,0.5834497748796771,0.173898980489572,0.0491512705066501,0.0178802463385602,0.5787748062513791
FrankaSkinPickAndPlaceDataGenConfig_combined_15traj_20260606,link2,7,27118,0.9981963411491884,0.2724758463013496,0.0215723873441994,0.0,0.0,0.9498075482038034
FrankaSkinPickAndPlaceDataGenConfig_combined_15traj_20260606,link3,8,30992,0.9981963411491884,0.121708828084667,0.0017423851316468,3.2266391326794014e-05,3.2266391326794014e-05,1.0771198487034286
FrankaSkinPickAndPlaceDataGenConfig_combined_15traj_20260606,link5,6,23244,0.9981963411491884,0.1088022715539494,0.0036998795388057,0.0,0.0,1.187518529845888
FrankaSkinPickAndPlaceDataGenConfig_combined_15traj_20260606,link6,8,30992,0.9981963411491884,0.3581246773360867,0.0390100671140939,0.0090991223541559,0.0004839958699019,0.8792160760975991
FrankaSkinPickAndPlaceOneHouseMugConfig_latest_20260605_194602,link2,7,27412,0.9964376590330788,0.3946811615350941,0.0331241791915949,0.0033197139938712,7.296074711805048e-05,0.971930561794054
FrankaSkinPickAndPlaceOneHouseMugConfig_latest_20260605_194602,link3,8,31318,0.996119592875318,0.2833833578133981,0.0442556995976754,0.0156140238840283,0.0051408135896289,1.0428104202559665
FrankaSkinPickAndPlaceOneHouseMugConfig_latest_20260605_194602,link5,6,23454,0.9946564885496184,0.230280549160058,0.0326170376055257,0.0003410932037179,0.0003410932037179,1.3159212575383736
FrankaSkinPickAndPlaceOneHouseMugConfig_latest_20260605_194602,link6,8,31255,0.994115776081425,0.3211006239001759,0.0421372580387138,0.0002239641657334,6.39897616381379e-05,1.0958023393971554
FrankaSkinPickAndPlacePilotConfig_latest_20260606_122642,link2,7,27398,0.99770583736936,0.3094751441711074,0.0145996058106431,0.0,0.0,1.0239342376453802
FrankaSkinPickAndPlacePilotConfig_latest_20260606_122642,link3,8,31295,0.9971641600815704,0.1847899025403419,0.0001278159450391,0.0001278159450391,0.0001278159450391,1.1733978376003202
FrankaSkinPickAndPlacePilotConfig_latest_20260606_122642,link5,6,23483,0.9976633528762002,0.2614657411744666,0.0527189882042328,0.0085167993867904,8.516799386790444e-05,1.186003401751917
FrankaSkinPickAndPlacePilotConfig_latest_20260606_122642,link6,8,31312,0.99770583736936,0.3796308124680633,0.1020056208482371,0.0072176801226366,0.0030978538579458,0.7844237995095548
FrankaSkinPickAndPlacePilotMediumConfig_latest_20260605_232256,link2,7,27685,0.9974779319041616,0.2425139967491421,0.0245981578472096,0.0002167238576846,0.0002167238576846,1.0609174411408149
FrankaSkinPickAndPlacePilotMediumConfig_latest_20260605_232256,link3,8,31639,0.9974464060529634,0.1592338569487025,0.0246215114257719,0.0110939030942823,0.0006005246689212,1.151997207068494
FrankaSkinPickAndPlacePilotMediumConfig_latest_20260605_232256,link5,6,23676,0.9952080706179068,0.1248099341104916,0.0051106605845582,0.0019428957594188,0.0013515796587261,1.211290615488521
FrankaSkinPickAndPlacePilotMediumConfig_latest_20260605_232256,link6,8,31600,0.996216897856242,0.3906962025316455,0.0757911392405063,0.0125949367088607,0.0034177215189873,0.8316671198167941
FrankaSkinProxNecessityPilotConfig,link2,7,51037,0.9983568396549364,0.4491447381311597,0.1263789015812058,0.0538236965338871,0.0177126398495209,0.7547856090349081
FrankaSkinProxNecessityPilotConfig,link3,8,58312,0.9980829795974258,0.3077754150089175,0.0961037179311291,0.0372307586774591,0.0065681163396899,0.8729312679469573
FrankaSkinProxNecessityPilotConfig,link5,6,43610,0.9952530923364828,0.3742719559734005,0.1873423526714056,0.0696629213483146,0.0136207291905526,0.8954753323442122
FrankaSkinProxNecessityPilotConfig,link6,8,58185,0.9959092153909352,0.6706883217324052,0.2259345192059809,0.0777348113775028,0.0121337114376557,0.5417144661697084
