link,phase,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_20m
link1,approach,1890,1890,1.0,0.14285714285714285
link1,pregrasp,37982,37982,1.0,0.14285714285714285
link1,grasp_lift,50302,50302,1.0,0.14287702278239434
link1,transit,0,0,,
link1,place,0,0,,
link2,approach,1890,1890,1.0,0.0010582010582010583
link2,pregrasp,37982,37982,1.0,0.004765415196672108
link2,grasp_lift,50302,50302,1.0,0.0012723152160947875
link2,transit,0,0,,
link2,place,0,0,,
link3,approach,1350,1350,1.0,0.0022222222222222222
link3,pregrasp,27130,27130,1.0,0.011684482123110948
link3,grasp_lift,35930,35930,1.0,0.0016420818257723352
link3,transit,0,0,,
link3,place,0,0,,
link4,approach,1350,1350,1.0,0.0014814814814814814
link4,pregrasp,27130,27130,1.0,0.0002580169553999263
link4,grasp_lift,35930,35930,1.0,0.0011967715001391594
link4,transit,0,0,,
link4,place,0,0,,
link5,approach,2700,2700,1.0,0.12
link5,pregrasp,54260,54260,1.0,0.06662366384076668
link5,grasp_lift,71860,71860,1.0,0.14720289451711663
link5,transit,0,0,,
link5,place,0,0,,
link6,approach,1620,1620,1.0,0.20308641975308642
link6,pregrasp,32556,32556,1.0,0.12136011795060818
link6,grasp_lift,43116,43116,1.0,0.21247332776695427
link6,transit,0,0,,
link6,place,0,0,,
