sensor_name,link,phase,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_20m
link1_sensor_0,link1,approach,270,270,1.0,0.0
link1_sensor_0,link1,pregrasp,5426,5426,1.0,0.0
link1_sensor_0,link1,grasp_lift,7186,7186,1.0,0.0
link1_sensor_0,link1,transit,0,0,,
link1_sensor_0,link1,place,0,0,,
link1_sensor_1,link1,approach,270,270,1.0,0.0
link1_sensor_1,link1,pregrasp,5426,5426,1.0,0.0
link1_sensor_1,link1,grasp_lift,7186,7186,1.0,0.0
link1_sensor_1,link1,transit,0,0,,
link1_sensor_1,link1,place,0,0,,
link1_sensor_2,link1,approach,270,270,1.0,0.0
link1_sensor_2,link1,pregrasp,5426,5426,1.0,0.0
link1_sensor_2,link1,grasp_lift,7186,7186,1.0,0.0
link1_sensor_2,link1,transit,0,0,,
link1_sensor_2,link1,place,0,0,,
link1_sensor_3,link1,approach,270,270,1.0,0.0
link1_sensor_3,link1,pregrasp,5426,5426,1.0,0.0
link1_sensor_3,link1,grasp_lift,7186,7186,1.0,0.00013915947676036738
link1_sensor_3,link1,transit,0,0,,
link1_sensor_3,link1,place,0,0,,
link1_sensor_4,link1,approach,270,270,1.0,0.0
link1_sensor_4,link1,pregrasp,5426,5426,1.0,0.0
link1_sensor_4,link1,grasp_lift,7186,7186,1.0,0.0
link1_sensor_4,link1,transit,0,0,,
link1_sensor_4,link1,place,0,0,,
link1_sensor_5,link1,approach,270,270,1.0,1.0
link1_sensor_5,link1,pregrasp,5426,5426,1.0,1.0
link1_sensor_5,link1,grasp_lift,7186,7186,1.0,1.0
link1_sensor_5,link1,transit,0,0,,
link1_sensor_5,link1,place,0,0,,
link1_sensor_6,link1,approach,270,270,1.0,0.0
link1_sensor_6,link1,pregrasp,5426,5426,1.0,0.0
link1_sensor_6,link1,grasp_lift,7186,7186,1.0,0.0
link1_sensor_6,link1,transit,0,0,,
link1_sensor_6,link1,place,0,0,,
link2_sensor_0,link2,approach,270,270,1.0,0.0
link2_sensor_0,link2,pregrasp,5426,5426,1.0,0.00018429782528566163
link2_sensor_0,link2,grasp_lift,7186,7186,1.0,0.0
link2_sensor_0,link2,transit,0,0,,
link2_sensor_0,link2,place,0,0,,
link2_sensor_1,link2,approach,270,270,1.0,0.0
link2_sensor_1,link2,pregrasp,5426,5426,1.0,0.0
link2_sensor_1,link2,grasp_lift,7186,7186,1.0,0.0
link2_sensor_1,link2,transit,0,0,,
link2_sensor_1,link2,place,0,0,,
link2_sensor_2,link2,approach,270,270,1.0,0.0
link2_sensor_2,link2,pregrasp,5426,5426,1.0,0.0
link2_sensor_2,link2,grasp_lift,7186,7186,1.0,0.0
link2_sensor_2,link2,transit,0,0,,
link2_sensor_2,link2,place,0,0,,
link2_sensor_3,link2,approach,270,270,1.0,0.007407407407407408
link2_sensor_3,link2,pregrasp,5426,5426,1.0,0.03298931072613343
link2_sensor_3,link2,grasp_lift,7186,7186,1.0,0.00848872808238241
link2_sensor_3,link2,transit,0,0,,
link2_sensor_3,link2,place,0,0,,
link2_sensor_4,link2,approach,270,270,1.0,0.0
link2_sensor_4,link2,pregrasp,5426,5426,1.0,0.00018429782528566163
link2_sensor_4,link2,grasp_lift,7186,7186,1.0,0.00041747843028110213
link2_sensor_4,link2,transit,0,0,,
link2_sensor_4,link2,place,0,0,,
link2_sensor_5,link2,approach,270,270,1.0,0.0
link2_sensor_5,link2,pregrasp,5426,5426,1.0,0.0
link2_sensor_5,link2,grasp_lift,7186,7186,1.0,0.0
link2_sensor_5,link2,transit,0,0,,
link2_sensor_5,link2,place,0,0,,
link2_sensor_6,link2,approach,270,270,1.0,0.0
link2_sensor_6,link2,pregrasp,5426,5426,1.0,0.0
link2_sensor_6,link2,grasp_lift,7186,7186,1.0,0.0
link2_sensor_6,link2,transit,0,0,,
link2_sensor_6,link2,place,0,0,,
link3_sensor_0,link3,approach,270,270,1.0,0.0
link3_sensor_0,link3,pregrasp,5426,5426,1.0,0.0
