sensor_name,link,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_50m,activation_lt_0_20m,activation_lt_0_10m,activation_lt_0_05m,near_saturation_lt_0_05m,raw_frame_activation_lt_0_50m,raw_frame_activation_lt_0_20m,raw_frame_activation_lt_0_10m,raw_frame_activation_lt_0_05m,mean_min_depth_m,std_min_depth_m,p05_min_depth_m,p50_min_depth_m,p95_min_depth_m,min_depth_m,median_within_traj_std_m,median_frame_to_frame_abs_diff_m,success_activation_lt_0_20m,failure_activation_lt_0_20m,success_minus_failure_activation_lt_0_20m,phase_approach_n_frames,phase_approach_n_valid_frames,phase_approach_valid_frame_ratio,phase_approach_activation_lt_0_20m,phase_pregrasp_n_frames,phase_pregrasp_n_valid_frames,phase_pregrasp_valid_frame_ratio,phase_pregrasp_activation_lt_0_20m,phase_grasp_lift_n_frames,phase_grasp_lift_n_valid_frames,phase_grasp_lift_valid_frame_ratio,phase_grasp_lift_activation_lt_0_20m,phase_transit_n_frames,phase_transit_n_valid_frames,phase_transit_valid_frame_ratio,phase_transit_activation_lt_0_20m,phase_place_n_frames,phase_place_n_valid_frames,phase_place_valid_frame_ratio,phase_place_activation_lt_0_20m,phase_spread_active_phase_count,suspicious_self_sensing,suspicious_reason
link1_sensor_0,link1,12882,12882,1.0,0.03136158981524608,0.0,0.0,0.0,0.0,0.03136158981524608,0.0,0.0,0.0,1.646773333892173,0.31271987899888304,0.6535437881946564,1.7266424894332886,1.7915311038494108,0.22261200845241547,0.015959618927318224,0.0004961788654327393,0.0,0.0,0.0,270,270,1.0,0.0,5426,5426,1.0,0.0,7186,7186,1.0,0.0,0,0,,,0,0,,,0,False,
link1_sensor_1,link1,12882,12882,1.0,0.01808725353206024,0.0,0.0,0.0,0.0,0.01808725353206024,0.0,0.0,0.0,0.9433532805245517,0.07845682423262341,0.9549015760421753,0.9549860954284668,0.9551065534353256,0.26845037937164307,5.498794413383641e-05,3.3408403396606445e-05,0.0,0.0,0.0,270,270,1.0,0.0,5426,5426,1.0,0.0,7186,7186,1.0,0.0,0,0,,,0,0,,,0,True,extremely_low_frame_to_frame_variation
link1_sensor_2,link1,12882,12882,1.0,0.007452258965999069,0.0,0.0,0.0,0.0,0.007452258965999069,0.0,0.0,0.0,1.6989673956305587,0.15231412339257394,1.6577983736991881,1.7098788022994995,1.8024966597557066,0.2821803390979767,0.00998330897950224,0.00019565224647521973,0.0,0.0,0.0,270,270,1.0,0.0,5426,5426,1.0,0.0,7186,7186,1.0,0.0,0,0,,,0,0,,,0,False,
link1_sensor_3,link1,12882,12882,1.0,0.487657196087564,7.76276975624903e-05,0.0,0.0,0.0,0.487657196087564,7.76276975624903e-05,0.0,0.0,0.6775313309996632,0.4491039604352382,0.3461081743240357,0.5023251175880432,1.7094206035137176,0.12061608582735062,0.0709107471083247,0.000562518835067749,0.0,0.00016786973308712439,-0.00016786973308712439,270,270,1.0,0.0,5426,5426,1.0,0.0,7186,7186,1.0,0.00013915947676036738,0,0,,,0,0,,,0,False,
link1_sensor_4,link1,12882,12882,1.0,0.5041918956683745,0.0,0.0,0.0,0.0,0.5041918956683745,0.0,0.0,0.0,0.5262174382077076,0.1181798164415398,0.3809437155723572,0.4988236725330353,0.7660083144903183,0.25652629137039185,0.034791846184836134,0.0006446018815040588,0.0,0.0,0.0,270,270,1.0,0.0,5426,5426,1.0,0.0,7186,7186,1.0,0.0,0,0,,,0,0,,,0,False,
link1_sensor_5,link1,12882,12882,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.18646579084837214,4.740626248180331e-06,0.1864597648382187,0.1864650547504425,0.18647488951683044,0.1864585429430008,4.2884620738057906e-06,2.7641654014587402e-06,1.0,1.0,0.0,270,270,1.0,1.0,5426,5426,1.0,1.0,7186,7186,1.0,1.0,0,0,,,0,0,,,3,True,activation_lt_0_20m_close_to_1;extremely_low_frame_to_frame_variation
link1_sensor_6,link1,12882,12882,1.0,0.018785902810122653,0.0,0.0,0.0,0.0,0.018785902810122653,0.0,0.0,0.0,1.6592093622914894,0.21880295378653464,1.634545338153839,1.6977970004081726,1.7675325512886046,0.4068768620491028,0.012809579840935744,0.0003768503665924072,0.0,0.0,0.0,270,270,1.0,0.0,5426,5426,1.0,0.0,7186,7186,1.0,0.0,0,0,,,0,0,,,0,False,
link2_sensor_0,link2,12882,12882,1.0,0.02119236143455985,7.76276975624903e-05,7.76276975624903e-05,0.0,0.0,0.02119236143455985,7.76276975624903e-05,7.76276975624903e-05,0.0,1.2786922376829035,0.18220665040276238,1.1406535506248474,1.2917430400848389,1.4667287111282348,0.06910450011491776,0.07919671228023348,0.003412872552871704,0.0001444043321299639,0.0,0.0001444043321299639,270,270,1.0,0.0,5426,5426,1.0,0.00018429782528566163,7186,7186,1.0,0.0,0,0,,,0,0,,,0,False,
link2_sensor_1,link2,12882,12882,1.0,0.0001552553951249806,0.0,0.0,0.0,0.0,0.0001552553951249806,0.0,0.0,0.0,1.6247602410451396,0.12998211385176142,1.5815736413002015,1.6379759311676025,1.699080866575241,0.4766883850097656,0.011358416150267028,0.00023102760314941406,0.0,0.0,0.0,270,270,1.0,0.0,5426,5426,1.0,0.0,7186,7186,1.0,0.0,0,0,,,0,0,,,0,False,
link2_sensor_2,link2,12882,12882,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2705438019853257,0.3017007939553199,0.7592936277389526,1.4295849800109863,1.6443834602832792,0.738353967666626,0.2757238324727397,0.004788339138031006,0.0,0.0,0.0,270,270,1.0,0.0,5426,5426,1.0,0.0,7186,7186,1.0,0.0,0,0,,,0,0,,,0,False,
