house_id,sensor_name,link,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_50m,activation_lt_0_20m,activation_lt_0_10m,activation_lt_0_05m,near_saturation_lt_0_05m,raw_frame_activation_lt_0_50m,raw_frame_activation_lt_0_20m,raw_frame_activation_lt_0_10m,raw_frame_activation_lt_0_05m,mean_min_depth_m,std_min_depth_m,p05_min_depth_m,p50_min_depth_m,p95_min_depth_m,min_depth_m,median_within_traj_std_m,median_frame_to_frame_abs_diff_m,success_activation_lt_0_20m,failure_activation_lt_0_20m,success_minus_failure_activation_lt_0_20m,phase_approach_n_frames,phase_approach_n_valid_frames,phase_approach_valid_frame_ratio,phase_approach_activation_lt_0_20m,phase_pregrasp_n_frames,phase_pregrasp_n_valid_frames,phase_pregrasp_valid_frame_ratio,phase_pregrasp_activation_lt_0_20m,phase_grasp_lift_n_frames,phase_grasp_lift_n_valid_frames,phase_grasp_lift_valid_frame_ratio,phase_grasp_lift_activation_lt_0_20m,phase_transit_n_frames,phase_transit_n_valid_frames,phase_transit_valid_frame_ratio,phase_transit_activation_lt_0_20m,phase_place_n_frames,phase_place_n_valid_frames,phase_place_valid_frame_ratio,phase_place_activation_lt_0_20m,phase_spread_active_phase_count,suspicious_self_sensing,suspicious_reason
house_1,link1_sensor_1,link1,745,745,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9550073085215267,6.636422326584402e-05,0.9549166917800903,0.9549963474273682,0.9551442384719848,0.9548656940460205,5.996451244193982e-05,2.7731060981750488e-05,0.0,0.0,0.0,11,11,1.0,0.0,276,276,1.0,0.0,458,458,1.0,0.0,0,0,,,0,0,,,0,True,extremely_low_frame_to_frame_variation
house_1,link1_sensor_5,link1,745,745,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.18646625562402222,5.297755002289521e-06,0.18645978569984437,0.1864655613899231,0.1864780068397522,0.18645888566970825,4.866714995438031e-06,2.168118953704834e-06,1.0,1.0,0.0,11,11,1.0,1.0,276,276,1.0,1.0,458,458,1.0,1.0,0,0,,,0,0,,,3,True,activation_lt_0_20m_close_to_1;extremely_low_frame_to_frame_variation
house_6,link1_sensor_1,link1,612,612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9549874005948795,5.2517362464214485e-05,0.9549159049987793,0.9549803733825684,0.9550829023122788,0.9548798203468323,5.045112109133656e-05,3.071129322052002e-05,0.0,0.0,0.0,7,7,1.0,0.0,266,266,1.0,0.0,339,339,1.0,0.0,0,0,,,0,0,,,0,True,extremely_low_frame_to_frame_variation
house_6,link1_sensor_5,link1,612,612,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.18646626254799317,4.907828388608265e-06,0.18645961582660675,0.18646559864282608,0.18647547736763953,0.18645858764648438,4.1853566409722e-06,3.1962990760803223e-06,1.0,1.0,0.0,7,7,1.0,1.0,266,266,1.0,1.0,339,339,1.0,1.0,0,0,,,0,0,,,2,True,activation_lt_0_20m_close_to_1;extremely_low_frame_to_frame_variation
house_7,link1_sensor_1,link1,729,729,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9549927767085113,5.938126540288072e-05,0.9549111723899841,0.9549832940101624,0.9551173448562622,0.9548629522323608,5.856692305920331e-05,3.3468008041381836e-05,0.0,0.0,0.0,18,18,1.0,0.0,346,346,1.0,0.0,365,365,1.0,0.0,0,0,,,0,0,,,0,True,extremely_low_frame_to_frame_variation
house_7,link1_sensor_5,link1,729,729,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1864651844048533,4.52224536110998e-06,0.18645980954170227,0.18646417558193207,0.18647409081459046,0.18645890057086945,3.996991316703291e-06,2.7194619178771973e-06,1.0,1.0,0.0,18,18,1.0,1.0,346,346,1.0,1.0,365,365,1.0,1.0,0,0,,,0,0,,,3,True,activation_lt_0_20m_close_to_1;extremely_low_frame_to_frame_variation
house_8,link1_sensor_5,link1,1206,1206,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.18646564218485928,4.312061096613777e-06,0.18645989149808884,0.18646516650915146,0.18647387251257896,0.18645864725112915,4.190538391306473e-06,2.6673078536987305e-06,,1.0,,27,27,1.0,1.0,395,395,1.0,1.0,784,784,1.0,1.0,0,0,,,0,0,,,3,True,activation_lt_0_20m_close_to_1;extremely_low_frame_to_frame_variation
house_10,link1_sensor_1,link1,610,610,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9549931553543591,5.3949529991132735e-05,0.9549213796854019,0.9549857974052429,0.9550985097885132,0.9548590183258057,4.778862312203361e-05,3.3095479011535645e-05,0.0,0.0,0.0,5,5,1.0,0.0,233,233,1.0,0.0,372,372,1.0,0.0,0,0,,,0,0,,,0,True,extremely_low_frame_to_frame_variation
house_10,link1_sensor_5,link1,610,610,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1864659379495949,4.517808008330093e-06,0.1864598959684372,0.1864655613899231,0.18647422194480895,0.1864587962627411,4.243968767195331e-06,2.9169023036956787e-06,1.0,1.0,0.0,5,5,1.0,1.0,233,233,1.0,1.0,372,372,1.0,1.0,0,0,,,0,0,,,2,True,activation_lt_0_20m_close_to_1;extremely_low_frame_to_frame_variation
house_11,link1_sensor_1,link1,149,149,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9549981471676154,6.586259819874362e-05,0.9548979997634888,0.9549906253814697,0.9551225543022156,0.9548686742782593,6.728441143243981e-05,4.163384437561035e-05,0.0,0.0,0.0,7,7,1.0,0.0,105,105,1.0,0.0,37,37,1.0,0.0,0,0,,,0,0,,,0,True,extremely_low_frame_to_frame_variation
