house,traj,cell,behavior,success,clearance_cm,light,depth_m,cam_visible
house_0,traj_0,abort,abort,True,4.1,0.209,0.25,True
house_0,traj_1,visible,deflect,False,1.8,0.245,0.31,True
house_0,traj_2,free,free,False,7.4,0.889,0.31,False
house_1,traj_0,abort,abort,True,4.1,0.209,0.25,True
house_1,traj_1,hidden,free,False,7.9,0.124,0.24,True
house_1,traj_2,hidden,deflect,False,7.9,0.355,0.35,False
house_2,traj_0,abort,abort,True,4.1,0.209,0.25,True
house_2,traj_1,hidden,free,False,4.7,0.185,0.24,False
house_2,traj_2,visible,deflect,False,4.3,0.527,0.29,True
house_3,traj_0,abort,abort,True,4.1,0.209,0.25,True
house_3,traj_1,hidden,deflect,False,3.4,0.906,0.20,False
house_3,traj_2,free,free,False,5.9,0.139,0.27,False
house_4,traj_0,visible,free,False,5.0,0.237,0.29,True
house_4,traj_1,free,abort,True,2.8,0.294,0.32,False
house_4,traj_2,abort,free,False,2.3,0.854,0.33,True
