house,traj,cell,behavior,success,clearance_cm,light,depth_m,cam_visible
house_0,traj_0,free,free,False,3.3,0.307,0.27,False
house_0,traj_1,free,free,False,2.7,0.668,0.30,False
house_0,traj_2,free,free,False,3.1,0.119,0.26,False
house_1,traj_0,free,free,False,3.3,0.307,0.27,False
house_1,traj_1,free,free,False,7.2,0.830,0.21,False
house_1,traj_2,free,free,False,7.4,0.128,0.21,False
house_2,traj_0,free,free,False,3.3,0.307,0.27,False
house_2,traj_1,free,free,False,6.6,0.114,0.33,False
house_2,traj_2,free,free,False,5.7,0.119,0.21,False
house_3,traj_0,free,free,False,3.3,0.307,0.27,False
house_3,traj_1,free,free,False,3.6,0.251,0.21,False
house_3,traj_2,free,free,False,6.0,0.545,0.30,False
house_4,traj_0,free,free,False,5.3,0.145,0.30,False
house_4,traj_1,free,abort,True,1.4,0.315,0.29,False
house_4,traj_2,free,free,False,1.7,0.431,0.27,False
house_5,traj_0,free,free,False,7.1,0.219,0.30,False
house_5,traj_1,free,free,False,1.4,0.101,0.22,False
house_5,traj_2,free,free,False,2.0,0.636,0.21,False
house_6,traj_0,free,free,False,3.5,0.339,0.21,False
house_6,traj_1,free,free,False,4.6,0.407,0.26,False
house_6,traj_2,free,free,False,6.8,0.900,0.24,False
house_7,traj_0,free,free,False,1.8,0.441,0.20,False
house_7,traj_1,free,free,False,4.0,0.691,0.32,False
house_7,traj_2,free,free,False,3.1,0.419,0.23,False
