house,traj,cell,behavior,success,clearance_cm,light,depth_m,cam_visible
house_0,traj_0,abort,abort,True,4.1,0.209,0.25,False
house_0,traj_1,free,free,False,4.6,0.208,0.22,False
house_0,traj_2,hidden,deflect,False,2.3,0.335,0.23,False
house_1,traj_0,abort,abort,True,4.1,0.209,0.25,False
house_1,traj_1,hidden,deflect,False,4.9,0.207,0.28,False
house_1,traj_2,abort,abort,True,7.0,0.214,0.20,False
house_2,traj_0,abort,abort,True,4.1,0.209,0.25,False
house_2,traj_1,free,free,False,7.2,0.132,0.28,False
house_2,traj_2,hidden,deflect,False,1.3,0.104,0.28,False
house_3,traj_0,abort,abort,True,4.1,0.209,0.25,False
house_3,traj_1,free,free,False,1.9,0.244,0.26,False
house_3,traj_2,free,free,False,1.2,0.595,0.29,False
house_4,traj_0,free,free,False,1.3,0.107,0.34,False
house_4,traj_1,hidden,deflect,False,1.3,0.343,0.20,False
house_4,traj_2,hidden,deflect,False,7.5,0.185,0.21,True
house_5,traj_0,free,free,False,5.1,0.136,0.30,False
house_5,traj_1,free,free,False,3.6,0.916,0.35,False
house_5,traj_2,free,free,False,4.1,0.472,0.30,False
house_6,traj_0,free,free,False,1.3,0.110,0.24,False
house_6,traj_1,visible,deflect,False,2.6,0.576,0.28,True
house_6,traj_2,free,free,False,5.0,0.261,0.32,False
house_7,traj_0,abort,abort,True,6.2,1.045,0.26,False
house_7,traj_1,abort,abort,True,6.7,0.569,0.33,False
house_7,traj_2,abort,abort,True,1.8,0.172,0.21,True
