house,traj,cell,behavior,success,clearance_cm,light,depth_m,cam_visible
house_0,traj_0,free,free,True,4.8,0.186,0.25,False
house_0,traj_1,free,free,False,2.2,0.309,0.24,False
house_0,traj_2,visible,free,False,2.0,0.318,0.21,True
house_1,traj_0,free,free,False,4.8,0.186,0.25,False
house_1,traj_1,visible,free,False,7.0,0.998,0.29,True
house_1,traj_2,visible,free,False,2.8,0.132,0.33,True
house_2,traj_0,free,free,True,4.8,0.186,0.25,False
house_2,traj_1,free,free,False,5.6,1.182,0.34,False
house_2,traj_2,visible,free,False,3.6,0.133,0.30,True
house_3,traj_0,free,free,True,4.8,0.186,0.25,False
house_3,traj_1,visible,free,True,6.1,1.087,0.23,True
house_3,traj_2,visible,free,True,3.1,0.181,0.32,True
house_4,traj_0,free,free,False,4.1,0.792,0.24,False
house_4,traj_1,free,free,True,3.3,0.824,0.21,False
house_4,traj_2,free,free,True,7.7,0.308,0.22,False
house_5,traj_0,visible,free,False,4.8,0.153,0.23,True
house_5,traj_1,free,free,True,3.0,0.663,0.26,False
house_5,traj_2,free,free,True,4.7,0.121,0.20,False
house_6,traj_0,visible,free,True,3.4,0.203,0.22,True
house_6,traj_1,visible,free,False,6.5,0.610,0.32,True
house_6,traj_2,visible,free,False,6.1,0.265,0.25,True
house_7,traj_0,visible,free,False,2.3,0.829,0.35,True
house_7,traj_1,visible,free,True,5.3,0.302,0.32,True
house_7,traj_2,visible,free,False,4.8,0.143,0.21,True
