sensor,self_min_max_m,self_buried,outward_dot,plate_read_m,plate_ok,cloud_rms_m,cloud_ok,VERDICT
link6_sensor_0,65.375,False,+1.00,0.145,True,nan,True,PASS
link6_sensor_1,65.375,False,+1.00,0.145,True,nan,True,PASS
link6_sensor_2,65.375,False,+1.00,0.145,True,nan,True,PASS
link6_sensor_3,65.375,False,+1.00,0.145,True,0.0045,True,PASS
link6_sensor_4,65.375,False,+1.00,0.145,True,nan,True,PASS
link6_sensor_5,65.375,False,+1.00,0.145,True,nan,True,PASS
link5_front_sensor_0,65.375,False,+0.43,0.145,True,nan,True,PASS
link5_front_sensor_1,0.058,False,+1.00,0.088,False,0.0000,True,FAIL
link5_front_sensor_2,0.035,False,+1.00,0.051,False,0.0000,True,FAIL
link5_front_sensor_3,65.375,False,+0.48,0.145,True,nan,True,PASS
link5_back_sensor_0,65.375,False,+1.00,0.145,True,nan,True,PASS
link5_back_sensor_1,65.375,False,+1.00,0.145,True,nan,True,PASS
link5_back_sensor_2,65.375,False,+1.00,0.145,True,nan,True,PASS
link5_back_sensor_3,65.375,False,+1.00,0.145,True,nan,True,PASS
link5_back_sensor_4,65.375,False,+1.00,0.145,True,0.0018,True,PASS
link5_back_sensor_5,65.375,False,+1.00,0.145,True,0.0000,True,PASS
link4_sensor_0,65.375,False,+1.00,0.145,True,nan,True,PASS
link4_sensor_1,65.375,False,+1.00,0.145,True,nan,True,PASS
link4_sensor_2,65.375,False,+1.00,0.145,True,nan,True,PASS
link4_sensor_3,65.375,False,+1.00,0.145,True,nan,True,PASS
link4_sensor_4,65.375,False,+1.00,0.145,True,nan,True,PASS
link3_sensor_0,65.375,False,+1.00,0.145,True,nan,True,PASS
link3_sensor_1,65.375,False,+1.00,0.145,True,nan,True,PASS
link3_sensor_2,65.375,False,+1.00,0.145,True,0.0052,True,PASS
link3_sensor_3,65.375,False,+1.00,0.145,True,0.0000,True,PASS
link3_sensor_4,65.375,False,+0.97,0.145,True,nan,True,PASS
link2_sensor_3,65.375,False,+1.00,0.145,True,nan,True,PASS
link2_sensor_4,65.375,False,+0.97,0.145,True,nan,True,PASS
link2_sensor_0,65.375,False,+1.00,0.145,True,nan,True,PASS
link2_sensor_5,0.124,False,+1.00,0.145,True,0.0000,True,PASS
link2_sensor_6,65.375,False,+1.00,0.145,True,nan,True,PASS
link2_sensor_1,65.375,False,+1.00,0.145,True,nan,True,PASS
link2_sensor_2,65.375,False,+1.00,0.145,True,nan,True,PASS
link1_sensor_0,65.375,False,+1.00,0.145,True,nan,True,PASS
link1_sensor_1,65.375,False,+1.00,0.145,True,nan,True,PASS
link1_sensor_2,65.375,False,+1.00,0.145,True,nan,True,PASS
link1_sensor_3,65.375,False,+1.00,0.145,True,nan,True,PASS
link1_sensor_4,65.375,False,+0.96,0.145,True,nan,True,PASS
link1_sensor_5,65.375,False,+1.00,0.145,True,0.0000,True,PASS
link1_sensor_6,65.375,False,+1.00,0.145,True,nan,True,PASS
