run,house,traj,T,success,has_bar,behavior_class,protr_name,protr_wall,residual_margin,bar_face_y,obj_gap,min_near_overall,min_near_approach,min_near_pregrasp,max_nclose_approach,frac_approach_active,bow_approach_m,approach_contacts,held_contacts,object_name,target_uid
20260612_162142,house_121,traj_0,88,False,True,free,protr_s,right,-0.17255063076994015,0.16216120332298511,0.1864615765735554,0.020012302324175835,0.020012302324175835,0.023004306480288506,2,0.4411764705882353,0.0051356646649557075,1.0,154.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_162142,house_121,traj_1,58,True,True,free,protr_m,right,-0.16261091464141375,0.15922873472041033,0.1699570492962293,0.04934817925095558,0.10605816543102264,0.10605816543102264,0,0.0,0.004227419963026911,0.0,210.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_162142,house_121,traj_10,68,True,False,free,,,nan,,,0.08168148994445801,0.08168148994445801,0.08168148994445801,1,0.025,0.004261226168955611,0.0,187.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_162142,house_121,traj_11,110,True,True,deflect,protr_s,right,-0.1669184871098746,0.1693590134549219,0.15017998166479468,0.08748749643564224,0.12115754932165146,0.12477238476276398,0,0.0,0.07425030663930206,0.0,222.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_162142,house_121,traj_12,167,True,True,free,protr_l,right,-0.11898425944306312,0.20578021680927194,0.130182901342405,0.021689770743250847,0.08748749643564224,0.08748749643564224,1,0.08823529411764706,0.007091362024688461,1.0,337.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_162142,house_121,traj_2,58,True,False,free,,,nan,,,0.05244419351220131,0.06784053146839142,0.06784053146839142,1,0.2,0.0043170116593798874,0.0,192.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_162142,house_121,traj_3,62,True,False,free,,,nan,,,0.0223594568669796,0.0223594568669796,0.0223594568669796,1,0.2647058823529412,0.019309660166294984,14.0,197.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_162142,house_121,traj_4,110,True,True,deflect,protr_l,left,-0.08621368417530162,0.23395734604788693,0.1819129244017414,0.0327213890850544,0.04995783418416977,0.05110839009284973,3,0.4024390243902439,0.027393164273220146,7.0,207.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_162142,house_121,traj_5,125,True,True,free,protr_m,right,-0.1631683664901698,0.1730755585367922,0.19790715344452423,0.0327213890850544,0.055230189114809036,0.06645043939352036,1,0.46875,0.007708884229065028,0.0,143.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_162142,house_121,traj_6,100,True,True,deflect,protr_s,left,-0.16919016800301617,0.15909705154636825,0.1962738691885908,0.0345182791352272,0.07469943165779114,0.07499345391988754,1,0.4305555555555556,0.035878580184184265,7.0,227.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_162142,house_121,traj_7,103,True,True,deflect,protr_s,left,-0.10123071046447946,0.19110479649568315,0.14121324614828745,0.0345182791352272,0.0345182791352272,0.0345182791352272,2,0.5294117647058824,0.003175853019151853,1.0,83.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_162142,house_121,traj_8,85,False,True,free,protr_l,left,0.023981363867243213,0.2305574282741757,0.19246700908754816,0.09157294034957886,0.09157294034957886,0.10476516932249069,1,0.03125,0.0037030529960010864,1.0,155.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
20260612_162142,house_121,traj_9,85,True,True,free,protr_m,right,-0.07818782406731821,0.22342468646670638,0.1934616065600221,0.053703807294368744,0.053703807294368744,0.07375245541334152,2,0.41935483870967744,0.003603564603352981,1.0,110.0,cavity_obj_0/4afa0cdde045417ab31f98ae7745b039,4afa0cdde045417ab31f98ae7745b039
