training_seed,scene_id,ACT_task_success,ACT_collision_free_task_success,ACT_pickup_failure,ACT_failure_stage,ACT_union_frames,PACT-Finetune_task_success,PACT-Finetune_collision_free_task_success,PACT-Finetune_pickup_failure,PACT-Finetune_failure_stage,PACT-Finetune_union_frames,PACT-Frozen_task_success,PACT-Frozen_collision_free_task_success,PACT-Frozen_pickup_failure,PACT-Frozen_failure_stage,PACT-Frozen_union_frames
3103,0135c016c51e9a14d1871b6b75009ac7aede4751e42bdfd3d900e5e73f4d8895,True,True,False,success,0,False,False,True,touched_without_hold,2691,False,False,False,no_target_interaction,0
3103,05c5c7b1a6cce3b93f40f2ed8df70b0fd6465d5492b7df1b8512c605399aadaa,False,False,False,no_target_interaction,6928,True,True,False,success,0,False,False,False,held_without_lift,2674
3103,0a1b64777bb44beb15530a0d7df9f2d4dab2437fff7b9cfcac485890ddf49ecc,False,False,False,lifted_without_placement,9009,False,False,False,lifted_without_placement,176,False,False,True,touched_without_hold,255
3103,12ea1dc9e8ef4f36294b8af0291ccca7b2572c926ac4a3e9a5e96076ec273a7d,False,False,True,touched_without_hold,2358,False,False,True,touched_without_hold,2646,False,False,True,touched_without_hold,1629
3103,13f247810c76adef34cb4f17b9c595b0344ec313e06d6688e6a668eb6a9a7966,False,False,True,touched_without_hold,0,True,True,False,success,0,True,True,False,success,0
3103,17328df1694784b3a5dbb145e3255f655612f0ef6600f70a8d4153779d007c2e,True,True,False,success,0,True,True,False,success,0,False,False,False,lifted_without_placement,0
3103,18d150654300eb80f56c4ab96d716a76810ec2858436c9504c176aa23c76902d,False,False,True,touched_without_hold,122,False,False,False,lifted_without_placement,82,True,False,False,success,3696
3103,30cf63e068b5653d09cd35a47e1973edf0010ead25e758384a18c46273725f1f,True,True,False,success,0,True,True,False,success,0,True,True,False,success,0
3103,35b3f82deaa1e7572d8172fa0a7e41281538154114bfd7c5085586e65788f62d,True,True,False,success,0,True,False,False,success,59,False,False,True,touched_without_hold,0
3103,3b1a6786c479add3460554097f722ae1ff27fd55df4cbf0d188142c846802828,False,False,True,touched_without_hold,0,False,False,True,touched_without_hold,0,True,True,False,success,0
3103,3da6f20aa5942a4dd803b50bc324e767c3f99b8d56a69b0b0aba6ab68ddf7655,False,False,False,held_without_lift,28,False,False,False,held_without_lift,31,False,False,False,lifted_without_placement,91
3103,3de096264a57dabdc0b73cf1155d41d8f0196bdc9597418fc5dc75344150b648,False,False,True,touched_without_hold,5834,True,True,False,success,0,False,False,False,lifted_without_placement,131
3103,3f39ab7596defe1942da4ec03a277ad77f955fc5edb12cc0da02394927fd94f5,False,False,False,no_target_interaction,2698,True,True,False,success,0,True,True,False,success,0
3103,457f3bce6855a0cd60ea9e428e34649df102adb18a4cf4ff4935e2c362685914,False,False,True,touched_without_hold,0,False,False,True,touched_without_hold,0,False,False,True,touched_without_hold,0
3103,4b969629c6529980a26d2e7cca7c1212c498ec791085190ec626600029c1bab9,True,True,False,success,0,True,True,False,success,0,True,True,False,success,0
3103,519946ca289eb070f55ccb076c40728c90a238773d0a6133fbe99881b5669a00,True,True,False,success,0,True,True,False,success,0,True,True,False,success,0
3103,54fae0e39bcde6571385a7904257521e98b5e978575e9dcfbdfb28359cddd951,False,False,True,touched_without_hold,0,True,True,False,success,0,False,False,True,touched_without_hold,6219
3103,553818fbd6bfafcfa72c762fda1aa44127384de489f64267443baa26e32db17e,True,False,False,success,3,True,True,False,success,0,True,True,False,success,0
3103,59126ae58be4f7ab6bcb325e0ccf2fa949489f591cdd6dc6ff2d6f22d59549bc,True,True,False,success,0,True,True,False,success,0,True,True,False,success,0
3103,621d8bd12acc6e7256e2a671b85f49c0168e469e53ac02193dc8e0ba09be2d11,True,False,False,success,25,False,False,False,lifted_without_placement,25,False,False,True,touched_without_hold,20
3103,6343de215bdae82a2240008b52893f9460af0fc882d47cb5259341719425a642,True,True,False,success,0,True,True,False,success,0,True,True,False,success,0
3103,6ca65b40a6acaa7dd7f235f68dc427672f5032029e2db2f2d778e7fea795a20d,False,False,False,no_target_interaction,0,False,False,False,no_target_interaction,0,False,False,False,no_target_interaction,0
3103,6cddf5fef14baa4a4f294ae404e9c32464657c75c4b207fc8cd0bdf31c4a5299,False,False,False,no_target_interaction,4802,True,True,False,success,0,False,False,True,touched_without_hold,0
3103,6fcfe645601237ae863e92dd0cbfabfe8ad163b45cbcd4c4e8b2a74957bf3b55,False,False,False,lifted_without_placement,30,True,False,False,success,199,False,False,True,touched_without_hold,369
