sensor,pixel_u,pixel_v,axial_depth_m,world_x_m,world_y_m,world_z_m
robot_0/link6_sensor_0,0,0,0.5532548,1.0556983236218465,-0.43799990842343006,1.1991968955048034
robot_0/link6_sensor_0,1,0,0.47626474,0.9441060213558843,-0.4379999193806973,1.1844785890460172
robot_0/link6_sensor_0,2,0,0.41808474,0.8597777059280103,-0.4379999225234915,1.1733562251707368
robot_0/link6_sensor_0,3,0,0.37257174,0.7938094411890835,-0.4379999078448969,1.1646554281754389
robot_0/link6_sensor_0,4,0,0.33599505,0.740793827786494,-0.4379998784839827,1.1576629978059716
robot_0/link6_sensor_0,5,0,0.30595812,0.697257138351713,-0.43799990313931186,1.1519207958485558
robot_0/link6_sensor_0,6,0,0.2808509,0.6608657580655646,-0.4379999020890286,1.1471210053764123
robot_0/link6_sensor_0,7,0,0.2595518,0.6299940505137662,-0.43799989271941675,1.1430492214747543
robot_0/link6_sensor_0,0,1,0.54188657,1.0376891263295567,-0.437999913827404,1.1404595918275524
robot_0/link6_sensor_0,1,1,0.4678161,0.9305379866791503,-0.43799988417601843,1.134031152607393
robot_0/link6_sensor_0,2,1,0.41156006,0.849157313449524,-0.43799989931292604,1.1291488005107866
robot_0/link6_sensor_0,3,1,0.3673815,0.7852481097595765,-0.4379999104775499,1.1253146315543188
robot_0/link6_sensor_0,4,1,0.33176813,0.7337293885380434,-0.43799989569931974,1.1222238106384268
robot_0/link6_sensor_0,5,1,0.30244923,0.6913163029900109,-0.43799992377618424,1.1196792855956552
robot_0/link6_sensor_0,6,1,0.27789146,0.6557907610750079,-0.43799991444030645,1.1175479618133244
robot_0/link6_sensor_0,7,1,0.2570222,0.6256010591536789,-0.4379999119863604,1.1157367586008706
robot_0/link6_sensor_0,0,2,0.3041368,0.8006288116044953,-0.333999949884369,1.0656687572503145
robot_0/link6_sensor_0,1,2,0.4596621,0.917443030919677,-0.4379999051888649,1.08534233973572
robot_0/link6_sensor_0,2,2,0.40523595,0.8388633538068927,-0.4379999062476986,1.0862999917361937
robot_0/link6_sensor_0,3,2,0.3623339,0.776922020750852,-0.43799990160197916,1.0870548708134948
robot_0/link6_sensor_0,4,2,0.32764626,0.7268405018435244,-0.43799992918516306,1.087665220683374
robot_0/link6_sensor_0,5,2,0.29901987,0.6855101707374651,-0.43799992040445934,1.0881689123104201
robot_0/link6_sensor_0,6,2,0.27499372,0.6508215882928365,-0.43799990168417985,1.0885916588236515
robot_0/link6_sensor_0,7,2,0.25454143,0.6212928628392388,-0.4379999168460664,1.0889515289502105
robot_0/link6_sensor_0,0,3,0.29696372,0.7900000690828751,-0.333452546804969,1.0346788981508155
robot_0/link6_sensor_0,1,3,0.45178747,0.9047967336229954,-0.4379999195282698,1.0383217359126644
robot_0/link6_sensor_0,2,3,0.39910325,0.8288809697863027,-0.43799991694964396,1.0447481006973587
robot_0/link6_sensor_0,3,3,0.35742313,0.7688216440361422,-0.4379999128057828,1.0498321978081133
robot_0/link6_sensor_0,4,3,0.3236255,0.7201206600240699,-0.437999929002671,1.053954799570934
robot_0/link6_sensor_0,5,3,0.29566744,0.6798342430425293,-0.43799993646242863,1.0573650965099952
robot_0/link6_sensor_0,6,3,0.27215582,0.6459549964566833,-0.4379999194491462,1.060233015270166
robot_0/link6_sensor_0,7,3,0.2521081,0.617067043096019,-0.4379999354011103,1.0626784189791625
robot_0/link6_sensor_0,0,4,0.30086055,0.790000017151294,-0.3380523611683109,1.0037898614785297
robot_0/link6_sensor_0,1,4,0.4441781,0.8925764421444322,-0.4379999378991598,0.9928850504437046
robot_0/link6_sensor_0,2,4,0.39315337,0.8191961849622387,-0.4379998993735231,1.0044351267430518
robot_0/link6_sensor_0,3,4,0.35264367,0.7609378853588258,-0.43799990730824323,1.0136050040308422
robot_0/link6_sensor_0,4,4,0.31970227,0.7135637632218128,-0.4379999495817223,1.0210617097533932
robot_0/link6_sensor_0,5,4,0.29238933,0.6742841684729484,-0.4379999433642304,1.0272443314721451
robot_0/link6_sensor_0,6,4,0.2693759,0.6411878189081333,-0.4379999282047722,1.0324537077527853
robot_0/link6_sensor_0,7,4,0.24972083,0.6129212430022432,-0.4379999306083622,1.0369028768797495
robot_0/link6_sensor_0,0,5,0.5007308,0.9724913220222797,-0.4379999688832924,0.9278156043796
robot_0/link6_sensor_0,1,5,0.4368208,0.8807609695149219,-0.43799994876924087,0.9489535779009242
robot_0/link6_sensor_0,2,5,0.38737833,0.8097959639683336,-0.4379999154807964,0.9653064687919168
robot_0/link6_sensor_0,3,5,0.34799036,0.7532622004846703,-0.43799991467942434,0.9783338816189286
robot_0/link6_sensor_0,4,5,0.315873,0.7071639282440978,-0.4379999581376335,0.9889565808375251
robot_0/link6_sensor_0,5,5,0.2891831,0.6688558080191285,-0.43799994222762184,0.9977841501734096
robot_0/link6_sensor_0,6,5,0.2666522,0.6365170549876684,-0.43799995513351375,1.0052361619013983
robot_0/link6_sensor_0,7,5,0.24737835,0.6088532238920334,-0.4379999315659676,1.0116109042902943
