sensor,pixel_u,pixel_v,axial_depth_m,world_x_m,world_y_m,world_z_m
robot_0/link6_sensor_0,0,0,0.60321444,0.9426453818422282,-0.43800001758968343,1.274923897967842
robot_0/link6_sensor_0,1,0,0.51226574,0.8169907654266593,-0.43800001722459087,1.243829258540246
robot_0/link6_sensor_0,2,0,0.44514912,0.7242625090144417,-0.4380000337180656,1.2208826215475825
robot_0/link6_sensor_0,3,0,0.3935823,0.653017849310679,-0.4380000507204501,1.2032523408845328
robot_0/link6_sensor_0,4,0,0.34123456,0.5888189518260353,-0.4299999452039636,1.1842186885920873
robot_0/link6_sensor_0,5,0,0.31954822,0.550732475935103,-0.43800000760392166,1.177940665030445
robot_0/link6_sensor_0,6,0,2.0899475,1.4611677230874094,-1.9499999369093275,1.9979975881387428
robot_0/link6_sensor_0,7,0,1.924505,1.2325925630915986,-1.9499999813293418,1.941434127467509
robot_0/link6_sensor_0,0,1,0.58479524,0.9237967211948112,-0.4380000223532985,1.207478498113219
robot_0/link6_sensor_0,1,1,0.4989206,0.8041833557307587,-0.4380000001020163,1.187097956215931
robot_0/link6_sensor_0,2,1,0.43503734,0.7152013955788279,-0.4380000349012228,1.1719366184794453
robot_0/link6_sensor_0,3,1,0.38565668,0.6464198879710232,-0.4380000306020051,1.1602171582676077
robot_0/link6_sensor_0,4,1,0.33506358,0.5840742369015552,-0.4299999557256564,1.1470735820466451
robot_0/link6_sensor_0,5,1,0.31925428,0.5500000688391296,-0.44186877968586724,1.1450074809208168
robot_0/link6_sensor_0,6,1,2.0585527,1.4410231933296775,-1.9499999157000785,1.7720152623951173
robot_0/link6_sensor_0,7,1,1.8978524,1.2171862149545065,-1.9500000487154816,1.7338764447489705
robot_0/link6_sensor_0,0,2,0.5674676,0.9060650499540318,-0.43800002933868964,1.1440299574209243
robot_0/link6_sensor_0,1,2,0.48625317,0.7920263663300312,-0.43800002087480466,1.133247461001432
robot_0/link6_sensor_0,2,2,0.42537472,0.7065427665216233,-0.4380000165628362,1.1251648830166128
robot_0/link6_sensor_0,3,2,0.37804398,0.6400824289461404,-0.4380000281352404,1.118880981088973
robot_0/link6_sensor_0,4,2,0.32218713,0.5748525049778767,-0.4249999719813275,1.109618512626532
robot_0/link6_sensor_0,5,2,0.32018447,0.5500000395806082,-0.4467023995091436,1.1124353415462351
robot_0/link6_sensor_0,6,2,2.0280874,1.4214749753500702,-1.9499999867879176,1.5527217967753075
robot_0/link6_sensor_0,7,2,1.871928,1.2022007593113924,-1.950000103465222,1.5319891842557296
robot_0/link6_sensor_0,0,3,0.55113715,0.8893538785934259,-0.43800001238700237,1.0842332083451913
robot_0/link6_sensor_0,1,3,0.47421294,0.7804713032696249,-0.4379999757014861,1.082063734493111
robot_0/link6_sensor_0,2,3,0.41613203,0.6982604445088634,-0.43800002099252805,1.0804257036308391
robot_0/link6_sensor_0,3,3,0.37072602,0.6339903387950279,-0.43800003858875414,1.0791451349092944
robot_0/link6_sensor_0,4,3,0.31656396,0.5705290011402332,-0.424999970796891,1.075771030080922
robot_0/link6_sensor_0,5,3,0.32112017,0.5500000560941369,-0.4515643306892385,1.0796728519683063
robot_0/link6_sensor_0,6,3,0.40072742,0.5680000207210065,-0.5447928574623342,1.09516060093499
robot_0/link6_sensor_0,7,3,0.46627697,0.5680000086673389,-0.6361524549425248,1.10998641385611
robot_0/link6_sensor_0,0,4,0.53572035,0.8735776281989205,-0.43799999969789183,1.0277818152864238
robot_0/link6_sensor_0,1,4,0.46275467,0.7694747334202168,-0.437999983476172,1.0333535053120462
robot_0/link6_sensor_0,2,4,0.4072824,0.690330348337246,-0.43799999407094464,1.0375893931918925
robot_0/link6_sensor_0,3,4,0.36368597,0.6281296041735249,-0.43800003035330076,1.040918442650833
robot_0/link6_sensor_0,4,4,0.31360027,0.567999977794784,-0.42684422284131535,1.0431583862711191
robot_0/link6_sensor_0,5,4,0.32206133,0.5500000541826111,-0.45645473649433305,1.0467183104254627
robot_0/link6_sensor_0,6,4,0.40206754,0.5680000107776773,-0.5511283358072713,1.054056876119765
robot_0/link6_sensor_0,7,4,0.4680924,0.5680000157517512,-0.6438840415086164,1.062190636932138
