task,run,arm,train_seed,trained,best_epoch,best_val,date,n_done_evals,evals,todo
pact_pick_n_place_v2_v1011d,pact_pick_n_place_v2_v1011d_ACT_s0_bs8_cs50_lr1e-5_e2000,ACT,0,True,1970,0.077592,2026-09-17,4,_verify_v107_spaced[DONE 24]; _verify_v12[DONE 8]; _verify_v6[DONE 24]; pact_pick_n_place_v2_v1011d_ACT_s0_bs8_cs50_lr1e-5_e2000[DONE 50]; pact_pick_n_place_v2_v1011d_ACT_s0_bs8_cs50_lr1e-5_e2000_tstrain[DONE 50],
pact_pick_n_place_v2_v1011d,pact_pick_n_place_v2_v1011d_ACT_s1_bs8_cs50_lr1e-5_e2000,ACT,1,True,1951,0.077802,2026-09-25,1,pact_pick_n_place_v2_v1011d_ACT_s1_bs8_cs50_lr1e-5_e2000_tstrain[DONE 50],
pact_pick_n_place_v2_v1011d,pact_pick_n_place_v2_v1011d_PACT_RAW_s0_bs8_cs50_lr1e-5_e2000,PACT_RAW,0,True,1979,0.096470,2026-09-17,3,pact_pick_n_place_v2_v1011d_PACT_RAW_s0_bs8_cs50_lr1e-5_e2000[DONE 50]; pact_pick_n_place_v2_v1011d_PACT_RAW_s0_bs8_cs50_lr1e-5_e2000_keep0_tstrain[DONE 50]; pact_pick_n_place_v2_v1011d_PACT_RAW_s0_bs8_cs50_lr1e-5_e2000_tstrain[DONE 50],
pact_pick_n_place_v2_v1011d,pact_pick_n_place_v2_v1011d_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000,PACT_READOUT,0,True,1653,0.073282,2026-09-17,5,_ab_eager[DONE 2]; _ab_lazy[DONE 2]; _ab_lazy24_a[DONE 24]; _ab_lazy24_b[DONE 24]; _ab_lazy_b[DONE 2]; _ab_lazy_poseonly[DONE 2]; _ab_solo_ep13_eager[DONE 1]; _ab_solo_ep13_lazy[DONE 1]; _ab_solo_ep8_eager[DONE 1]; _ab_solo_ep8_lazy[DONE 1]; _equiv_base[DONE 3]; _equiv_base2[DONE 3]; _equiv_wrap[DONE 3]; _iso_eager[DONE 2]; _iso_lazy_a[DONE 2]; _iso_lazy_b[DONE 2]; _parity_v107_spaced_probe[DONE 4]; _parity_v12_probe[DONE 8]; _parity_v6_probe[DONE 4]; _prof_eager[DONE 1]; pact_pick_n_place_v2_v1011d_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000[DONE 50]; pact_pick_n_place_v2_v1011d_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000_keep0_tstrain[DONE 50]; pact_pick_n_place_v2_v1011d_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000_tstrain[DONE 50],
pact_pick_n_place_v2_v107_spaced,pact_pick_n_place_v2_v107_spaced_ACT_s0_bs8_cs50_lr1e-5_e2000,ACT,0,True,1987,0.051482,2026-09-24,1,pact_pick_n_place_v2_v107_spaced_ACT_s0_bs8_cs50_lr1e-5_e2000[DONE 50],
pact_pick_n_place_v2_v107_spaced,pact_pick_n_place_v2_v107_spaced_PACT_RAW_s0_bs8_cs50_lr1e-5_e2000,PACT_RAW,0,True,1951,0.079642,2026-09-24,1,pact_pick_n_place_v2_v107_spaced_PACT_RAW_s0_bs8_cs50_lr1e-5_e2000[DONE 50],
pact_pick_n_place_v2_v107_spaced,pact_pick_n_place_v2_v107_spaced_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000,PACT_READOUT,0,True,1579,0.073914,2026-09-24,1,pact_pick_n_place_v2_v107_spaced_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000[DONE 50],
pact_pick_n_place_v2_v12,pact_pick_n_place_v2_v12_ACT_s0_bs8_cs50_lr1e-5_e2000,ACT,0,True,1575,0.056981,2026-09-22,1,pact_pick_n_place_v2_v12_ACT_s0_bs8_cs50_lr1e-5_e2000[DONE 50],
pact_pick_n_place_v2_v12,pact_pick_n_place_v2_v12_PACT_RAW_s0_bs8_cs50_lr1e-5_e2000,PACT_RAW,0,True,1959,0.073400,2026-09-22,2,pact_pick_n_place_v2_v12_PACT_RAW_s0_bs8_cs50_lr1e-5_e2000[DONE 50]; pact_pick_n_place_v2_v12_PACT_RAW_s0_bs8_cs50_lr1e-5_e2000_keep0[DONE 50],
pact_pick_n_place_v2_v12,pact_pick_n_place_v2_v12_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000,PACT_READOUT,0,True,1986,0.059437,2026-09-22,1,pact_pick_n_place_v2_v12_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000[DONE 50],
