run,status,task,arm,train_seed,n,n_req,place,ever,bar,free,strict,seeds,history,clutter_scale,keep_frac,cameras,horizon,path,hygiene,ckpt,ckpt_sha8,script,script_sha8,archived,date
_ab_eager,DONE,v1011d,PACT_READOUT,0,2,2,0,0,1,1,0,0-1,consecutive_prefetch_8,0.25,1.0,exo_camera_1+wrist_camera,1050,original,ok,pact_pick_n_place_v2_v1011d_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000,b565c8f3,eval_act_v1011d.py,a8a7665b,False,2026-09-18 15:13
_ab_lazy,DONE,v1011d,PACT_READOUT,0,2,2,0,0,1,1,0,0-1,consecutive_prefetch_8,0.25,1.0,exo_camera_1+wrist_camera,1050,fast,ok,pact_pick_n_place_v2_v1011d_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000,b565c8f3,eval_act_v1011d.py,a8a7665b,False,2026-09-18 14:30
_ab_lazy24_a,DONE,v1011d,PACT_READOUT,0,24,24,4,4,6,11,4,0-23,consecutive_prefetch_8,0.25,1.0,exo_camera_1+wrist_camera,1050,fast,ok,pact_pick_n_place_v2_v1011d_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000,b565c8f3,eval_act_v1011d.py,9e50a2fc,False,2026-09-18 15:56
_ab_lazy24_b,DONE,v1011d,PACT_READOUT,0,24,24,2,2,6,11,2,0-23,consecutive_prefetch_8,0.25,1.0,exo_camera_1+wrist_camera,1050,fast,ok,pact_pick_n_place_v2_v1011d_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000,b565c8f3,eval_act_v1011d.py,9e50a2fc,False,2026-09-18 15:34
_ab_lazy_b,DONE,v1011d,PACT_READOUT,0,2,2,0,0,1,1,0,0-1,consecutive_prefetch_8,0.25,1.0,exo_camera_1+wrist_camera,1050,fast,ok,pact_pick_n_place_v2_v1011d_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000,b565c8f3,eval_act_v1011d.py,a8a7665b,False,2026-09-18 14:35
_ab_lazy_poseonly,DONE,v1011d,PACT_READOUT,0,2,2,0,0,1,1,0,0-1,consecutive_prefetch_8,0.25,1.0,exo_camera_1+wrist_camera,1050,fast,ok,pact_pick_n_place_v2_v1011d_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000,b565c8f3,eval_act_v1011d.py,a8a7665b,False,2026-09-18 13:31
_ab_solo_ep13_eager,DONE,v1011d,PACT_READOUT,0,1,1,0,0,0,0,0,13-13,consecutive_prefetch_8,0.25,1.0,exo_camera_1+wrist_camera,1050,original,ok,pact_pick_n_place_v2_v1011d_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000,b565c8f3,eval_act_v1011d.py,9e50a2fc,False,2026-09-18 15:44
_ab_solo_ep13_lazy,DONE,v1011d,PACT_READOUT,0,1,1,0,0,0,0,0,13-13,consecutive_prefetch_8,0.25,1.0,exo_camera_1+wrist_camera,1050,fast,ok,pact_pick_n_place_v2_v1011d_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000,b565c8f3,eval_act_v1011d.py,9e50a2fc,False,2026-09-18 15:22
_ab_solo_ep8_eager,DONE,v1011d,PACT_READOUT,0,1,1,1,1,0,0,0,8-8,consecutive_prefetch_8,0.25,1.0,exo_camera_1+wrist_camera,1050,original,ok,pact_pick_n_place_v2_v1011d_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000,b565c8f3,eval_act_v1011d.py,9e50a2fc,False,2026-09-18 15:49
_ab_solo_ep8_lazy,DONE,v1011d,PACT_READOUT,0,1,1,1,1,0,1,1,8-8,consecutive_prefetch_8,0.25,1.0,exo_camera_1+wrist_camera,1050,fast,ok,pact_pick_n_place_v2_v1011d_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000,b565c8f3,eval_act_v1011d.py,9e50a2fc,False,2026-09-18 15:28
_equiv_base,DONE,v1011d,PACT_READOUT,0,3,3,0,0,1,0,0,0-2,consecutive_prefetch_8,1.0,1.0,exo_camera_1+wrist_camera,200,fast,ok,pact_pick_n_place_v2_v1011d_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000,b565c8f3,eval_act_v1011d.py,5f8221d2,False,2026-09-22 13:22
_equiv_base2,DONE,v1011d,PACT_READOUT,0,3,3,0,0,1,0,0,0-2,consecutive_prefetch_8,1.0,1.0,exo_camera_1+wrist_camera,200,fast,ok,pact_pick_n_place_v2_v1011d_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000,b565c8f3,eval_act_v1011d.py,5f8221d2,False,2026-09-22 13:24
_equiv_wrap,DONE,v1011d,PACT_READOUT,0,3,3,0,0,1,0,0,0-2,consecutive_prefetch_8,1.0,1.0,exo_camera_1+wrist_camera,200,fast,ok,pact_pick_n_place_v2_v1011d_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000,b565c8f3,eval_act_v1011d.py,5f8221d2,False,2026-09-22 13:22
_iso_eager,DONE,v1011d,PACT_READOUT,0,2,2,0,0,1,1,0,0-1,consecutive_prefetch_8,0.25,1.0,exo_camera_1+wrist_camera,1050,original,ok,pact_pick_n_place_v2_v1011d_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000,b565c8f3,eval_act_v1011d.py,bbf27328,False,2026-09-18 17:22
_iso_lazy_a,DONE,v1011d,PACT_READOUT,0,2,2,0,0,1,1,0,0-1,consecutive_prefetch_8,0.25,1.0,exo_camera_1+wrist_camera,1050,fast,ok,pact_pick_n_place_v2_v1011d_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000,b565c8f3,eval_act_v1011d.py,bbf27328,False,2026-09-18 16:32
_iso_lazy_b,DONE,v1011d,PACT_READOUT,0,2,2,0,0,1,1,0,0-1,consecutive_prefetch_8,0.25,1.0,exo_camera_1+wrist_camera,1050,fast,ok,pact_pick_n_place_v2_v1011d_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000,b565c8f3,eval_act_v1011d.py,bbf27328,False,2026-09-18 16:36
_parity_replay_v1011c,EMPTY,,?,?,0,,0,0,0,0,0,,,,,,,,-,,,,,False,2026-09-22 12:32
_parity_replay_v1011d,EMPTY,,?,?,0,,0,0,0,0,0,,,,,,,,-,,,,,False,2026-09-22 12:25
_parity_replay_v6,EMPTY,,?,?,0,,0,0,0,0,0,,,,,,,,-,,,,,False,2026-09-22 12:32
_parity_sampler_v1011c,EMPTY,,?,?,0,,0,0,0,0,0,,,,,,,,-,,,,,False,2026-09-22 12:19
_parity_v1011c_probe,DONE,v1011c,PACT_READOUT,0,3,3,0,0,0,3,0,2026-2028,consecutive_prefetch_8,1.0,1.0,exo_camera_1+wrist_camera,5,fast,ok,pact_place_corridor_v10_11c_100_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000,3ae1af5b,eval_act_v1011d.py,5f8221d2,False,2026-09-22 12:14
_parity_v1011c_train,DONE,v1011c,PACT_READOUT,0,4,4,0,0,0,4,0,2026-2029,consecutive_prefetch_8,1.0,1.0,exo_camera_1+wrist_camera,5,fast,ok,pact_place_corridor_v10_11c_100_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000,3ae1af5b,eval_act_v1011d.py,5f8221d2,False,2026-09-22 12:41
_parity_v1011c_uniform,DONE,v1011c,PACT_READOUT,0,4,4,0,0,0,4,0,2026-2029,consecutive_prefetch_8,1.0,1.0,exo_camera_1+wrist_camera,5,fast,ok,pact_place_corridor_v10_11c_100_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000,3ae1af5b,eval_act_v1011d.py,5f8221d2,False,2026-09-22 12:41
_parity_v107_spaced_probe,DONE,v107_spaced,PACT_READOUT,0,4,4,0,0,0,4,0,2026-2029,consecutive_prefetch_8,1.0,1.0,exo_camera_1+wrist_camera,5,fast,ok,pact_pick_n_place_v2_v1011d_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000,b565c8f3,eval_act_v1011d.py,5f8221d2,False,2026-09-22 12:24
_parity_v12_probe,DONE,v12,PACT_READOUT,0,8,8,0,0,0,8,0,2026-2033,consecutive_prefetch_8,1.0,1.0,exo_camera_1+wrist_camera,5,fast,ok,pact_pick_n_place_v2_v1011d_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000,b565c8f3,eval_act_v1011d.py,5f8221d2,False,2026-09-22 12:28
_parity_v6_probe,DONE,v6,PACT_READOUT,0,4,4,0,0,0,4,0,2026-2029,consecutive_prefetch_8,1.0,1.0,exo_camera_1+wrist_camera,5,fast,ok,pact_pick_n_place_v2_v1011d_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000,b565c8f3,eval_act_v1011d.py,5f8221d2,False,2026-09-22 12:23
_port_hall_eager,DONE,hallway,PACT_READOUT,0,1,1,0,0,0,1,0,2026-2026,query_steps_train_mismatch,,1.0,wrist_camera,150,original,ok,pact_place_corridor_v5_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000,8a47b621,eval_act.py,8524fd4c,False,2026-09-20 17:06
_port_hall_fast,DONE,hallway,PACT_READOUT,0,1,1,0,0,0,1,0,2026-2026,query_steps_train_mismatch,,1.0,wrist_camera,150,fast,ok,pact_place_corridor_v5_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000,8a47b621,eval_act.py,8524fd4c,False,2026-09-20 17:03
_port_v107_eager,DONE,v107_spaced,PACT_READOUT,0,1,1,0,0,0,1,0,2026-2026,query_steps_train_mismatch,,1.0,table_camera+wrist_camera,150,original,ok,pact_place_corridor_v107_spaced_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000,a94e9f73,eval_act_v107spaced.py,4503f96d,False,2026-09-20 17:11
_port_v107_fast,DONE,v107_spaced,PACT_READOUT,0,1,1,0,0,0,1,0,2026-2026,query_steps_train_mismatch,,1.0,table_camera+wrist_camera,150,fast,ok,pact_place_corridor_v107_spaced_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000,a94e9f73,eval_act_v107spaced.py,4503f96d,False,2026-09-20 17:07
_prof_eager,DONE,v1011d,PACT_READOUT,0,1,1,0,0,1,0,0,0-0,consecutive_prefetch_8,0.25,1.0,exo_camera_1+wrist_camera,100,original,ok,pact_pick_n_place_v2_v1011d_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000,b565c8f3,eval_act_v1011d.py,30b45b4b,False,2026-09-18 13:01
_smoke_place_v1010,DONE,v1010,PACT_READOUT,0,1,1,0,0,0,1,0,2026-2026,consecutive_prefetch_8,1.0,1.0,table_camera+wrist_camera,150,fast,ok,pact_place_corridor_v1010_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000,31981718,eval_act_v1011d.py,5f8221d2,False,2026-09-22 11:59
_smoke_place_v1010_cam58,DONE,v1010,ACT,0,2,2,0,0,0,2,0,2026-2027,consecutive_prefetch_8,1.0,1.0,table_camera+wrist_camera,60,original,ok,pact_place_corridor_v1010_ACT_s0_bs8_cs50_lr1e-5_e2000,f4ee23d5,eval_act_v1011d.py,5f8221d2,False,2026-09-22 12:35
_verify_v1010,DONE,v1010,ACT,0,24,24,0,0,0,22,0,2026-2049,consecutive_prefetch_8,1.0,1.0,table_camera+wrist_camera,1,original,ok,pact_place_corridor_v1010_ACT_s0_bs8_cs50_lr1e-5_e2000,f4ee23d5,eval_act_v1011d.py,5f8221d2,False,2026-09-22 13:32
_verify_v1011c,DONE,v1011c,ACT,0,24,24,0,0,2,21,0,2026-2049,consecutive_prefetch_8,1.0,1.0,exo_camera_1+wrist_camera,1,original,ok,pact_place_corridor_v10_11c_100_ACT_s0_bs8_cs50_lr1e-5_e2000,725615a3,eval_act_v1011d.py,5f8221d2,False,2026-09-22 13:32
_verify_v107_spaced,DONE,v107_spaced,ACT,0,24,24,0,0,0,24,0,2026-2049,consecutive_prefetch_8,1.0,1.0,exo_camera_1+wrist_camera,1,original,ok,pact_pick_n_place_v2_v1011d_ACT_s0_bs8_cs50_lr1e-5_e2000,e717a60e,eval_act_v1011d.py,5f8221d2,False,2026-09-22 13:33
_verify_v12,DONE,v12,ACT,0,8,8,0,0,0,8,0,2026-2033,consecutive_prefetch_8,1.0,1.0,exo_camera_1+wrist_camera,1,original,ok,pact_pick_n_place_v2_v1011d_ACT_s0_bs8_cs50_lr1e-5_e2000,e717a60e,eval_act_v1011d.py,5f8221d2,False,2026-09-22 13:34
_verify_v6,DONE,v6,ACT,0,24,24,0,0,0,22,0,2026-2049,consecutive_prefetch_8,1.0,1.0,exo_camera_1+wrist_camera,1,original,ok,pact_pick_n_place_v2_v1011d_ACT_s0_bs8_cs50_lr1e-5_e2000,e717a60e,eval_act_v1011d.py,5f8221d2,False,2026-09-22 13:32
pact_pick_n_place_v2_v1011d_ACT_s0_bs8_cs50_lr1e-5_e2000,DONE,v1011d,ACT,0,50,50,13,13,18,15,9,0-49,consecutive_prefetch_8,0.25,1.0,exo_camera_1+wrist_camera,1050,original(pre-patch),ok,pact_pick_n_place_v2_v1011d_ACT_s0_bs8_cs50_lr1e-5_e2000,e717a60e,eval_act_v1011d.py,36f86d5d,True,2026-09-20 16:47
pact_pick_n_place_v2_v1011d_ACT_s0_bs8_cs50_lr1e-5_e2000_tstrain,DONE,v1011d,ACT,0,50,50,21,22,12,24,16,0-49,consecutive_prefetch_8,0.25,1.0,exo_camera_1+wrist_camera,1050,original,ok,pact_pick_n_place_v2_v1011d_ACT_s0_bs8_cs50_lr1e-5_e2000,e717a60e,eval_act_v1011d.py,5f8221d2,True,2026-09-24 11:58
pact_pick_n_place_v2_v1011d_ACT_s1_bs8_cs50_lr1e-5_e2000_tstrain,DONE,v1011d,ACT,1,50,50,17,19,13,24,13,0-49,consecutive_prefetch_8,0.25,1.0,exo_camera_1+wrist_camera,1050,original,ok,pact_pick_n_place_v2_v1011d_ACT_s1_bs8_cs50_lr1e-5_e2000,ca1f109a,eval_act_v1011d.py,84b71097,True,2026-09-25 05:34
pact_pick_n_place_v2_v1011d_PACT_RAW_s0_bs8_cs50_lr1e-5_e2000,DONE,v1011d,PACT_RAW,0,50,50,12,12,3,26,11,0-49,consecutive_prefetch_8,0.25,1.0,exo_camera_1+wrist_camera,1050,original(pre-patch),ok,pact_pick_n_place_v2_v1011d_PACT_RAW_s0_bs8_cs50_lr1e-5_e2000,6139d460,eval_act_v1011d.py,bbf27328,True,2026-09-20 16:47
pact_pick_n_place_v2_v1011d_PACT_RAW_s0_bs8_cs50_lr1e-5_e2000_keep0_tstrain,DONE,v1011d,PACT_RAW,0,50,50,22,22,1,32,19,0-49,consecutive_prefetch_8,0.25,0.0,exo_camera_1+wrist_camera,1050,fast,ok,pact_pick_n_place_v2_v1011d_PACT_RAW_s0_bs8_cs50_lr1e-5_e2000,6139d460,eval_act_v1011d.py,5f8221d2,True,2026-09-24 19:07
pact_pick_n_place_v2_v1011d_PACT_RAW_s0_bs8_cs50_lr1e-5_e2000_tstrain,DONE,v1011d,PACT_RAW,0,50,50,18,20,3,31,16,0-49,consecutive_prefetch_8,0.25,1.0,exo_camera_1+wrist_camera,1050,fast,ok,pact_pick_n_place_v2_v1011d_PACT_RAW_s0_bs8_cs50_lr1e-5_e2000,6139d460,eval_act_v1011d.py,5f8221d2,True,2026-09-24 11:57
pact_pick_n_place_v2_v1011d_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000,DONE,v1011d,PACT_READOUT,0,50,50,13,14,10,22,11,0-49,consecutive_prefetch_8,0.25,1.0,exo_camera_1+wrist_camera,1050,original(pre-patch),ok,pact_pick_n_place_v2_v1011d_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000,b565c8f3,eval_act_v1011d.py,bbf27328,True,2026-09-20 16:47
pact_pick_n_place_v2_v1011d_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000_keep0_tstrain,DONE,v1011d,PACT_READOUT,0,50,50,23,23,4,30,17,0-49,consecutive_prefetch_8,0.25,0.0,exo_camera_1+wrist_camera,1050,fast,ok,pact_pick_n_place_v2_v1011d_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000,b565c8f3,eval_act_v1011d.py,5f8221d2,True,2026-09-24 18:55
pact_pick_n_place_v2_v1011d_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000_tstrain,DONE,v1011d,PACT_READOUT,0,50,50,19,19,6,32,17,0-49,consecutive_prefetch_8,0.25,1.0,exo_camera_1+wrist_camera,1050,fast,ok,pact_pick_n_place_v2_v1011d_PACT_READOUT_s0_bs8_cs50_lr1e-5_e2000,b565c8f3,eval_act_v1011d.py,5f8221d2,True,2026-09-24 12:07
pact_pick_n_place_v2_v1011d_raw_s0_n2,LEGACY,pact_pick_n_place_v2,?,?,2,,0,0,1,1,0,,pin_house_1_F0_target_side_stagger_left_center,,,exo_camera_1+wrist_camera,1050,original(pre-patch),no-seed,20260903_171108_pact_pick_n_place_v2_v1011d_s0,,,,False,2026-09-03 20:25
pact_pick_n_place_v2_v1011d_raw_s0_n48,LEGACY,pact_pick_n_place_v2,?,?,48,,0,0,3,32,0,,spread_24_cells,,,exo_camera_1+wrist_camera,800,original(pre-patch),no-seed,20260903_171108_pact_pick_n_place_v2_v1011d_s0,,,,False,2026-09-04 10:28
pact_pick_n_place_v2_v1011d_raw_s0_n48_horizon1050,LEGACY,pact_pick_n_place_v2,?,?,48,,0,0,0,37,0,,spread_24_cells,,,exo_camera_1+wrist_camera,1050,original(pre-patch),no-seed,20260903_171108_pact_pick_n_place_v2_v1011d_s0,,,,True,2026-09-04 14:40
